bioproject,project_name,manual_annot,is_pig_assoc
PRJNA629394,"",(unannotated),""
PRJEB31019,"",(unannotated),""
PRJEB4352,"",(unannotated),""
PRJEB31266,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]",(unannotated),""
PRJNA957716,"",(unannotated),""
PRJEB9691,"",(unannotated),""
PRJNA352737,"",(unannotated),""
PRJEB34634,"[""REHAB""]",(unannotated),""
PRJEB1787,"[""Tara Oceans expedition (2009-2013)""]",(unannotated),""
PRJEB9691,"[""Tara Oceans Expedition (2009-2013)""]",(unannotated),""
PRJNA1128851,"",(unannotated),""
PRJNA949377,"",(unannotated),""
PRJEB1787,"[""Tara Oceans""]",(unannotated),""
PRJNA356291,"",(unannotated),""
PRJEB21508,"[""Ruminomics EU FP7""]",(unannotated),""
PRJNA982563,"",(unannotated),""
PRJEB4352,"[""Tara Oceans expedition (2009-2013)""]",(unannotated),""
PRJNA379303,"",(unannotated),""
PRJEB4352,"[""Tara Oceans""]",(unannotated),""
